Huanuco, localidad, ciudad
Amarilis, localidad, localidad
Chinchao, localidad, valle
Churubamba, localidad, rural
Margos, localidad, campestre
Pillco Marca, localidad, urbano
Quisqui, localidad, andino
San Francisco de Cayran, localidad, tradicional
San Pedro de Chaulan, localidad, agricola
Santa Maria del Valle, localidad, pintoresco
Yarumayo, localidad, ribereno
Ambo, localidad, ciudad
Cayna, localidad, rural
Colpas, localidad, agricola
Conchamarca, localidad, tranquilo
Huacar, localidad, montanoso
San Francisco, localidad, tradicional
San Rafael, localidad, campestre
Tomay Kichwa, localidad, andino
La Union, localidad, localidad
Chuquis, localidad, historico
Marias, localidad, tranquilo
Pachas, localidad, rural
Quivilla, localidad, agricola
Ripan, localidad, montanoso
Shunqui, localidad, tradicional
Sillapata, localidad, campestre
Yanas, localidad, remoto
Huacaybamba, localidad, rural
Canchabamba, localidad, agricola
Cochabamba, localidad, tranquilo
Pinra, localidad, remoto
Llata, localidad, ciudad
Arancay, localidad, rural
Chavin de Pariarca, localidad, historico
Jacas Grande, localidad, campestre
Jircan, localidad, montanoso
Miraflores, localidad, tranquilo
Monzon, localidad, valle
Punchao, localidad, tradicional
Punos, localidad, remoto
Singa, localidad, andino
Tantamayo, localidad, arqueologico
Tingo Maria, localidad, ciudad
Daniel Alomia Robles, localidad, cultural
Hermilio Valdizan, localidad, urbano
Jose Crespo y Castillo, localidad, agricola
Luyando, localidad, ribereno
Mariano Damaso Beraun, localidad, campestre
Rupa Rupa, localidad, selvatico
Huacrachuco, localidad, rural
Cholon, localidad, remoto
San Buenaventura, localidad, tranquilo
Panao, localidad, ciudad
Chaglla, localidad, montanoso
Molino, localidad, rural
Umari, localidad, agricola
Puerto Inca, localidad, selvatico
Codo del Pozuzo, localidad, remoto
Honoria, localidad, ribereno
Tournavista, localidad, agricola
Yuyapichis, localidad, tropical
Jesus, localidad, andino
Banos, localidad, termal
Jivia, localidad, rural
Queropalca, localidad, montanoso
Rondos, localidad, campestre
San Francisco de Asis, localidad, tranquilo
San Miguel de Cauri, localidad, historico
trekking, actividad, montana
banos termales, actividad, relax
catarata, actividad, naturaleza
rafting, actividad, rio
ruinas, actividad, arqueologia
gastronomia, actividad, comida
pesca, actividad, rio
avistamiento aves, actividad, selva
camping, actividad, naturaleza
folclore, actividad, cultural
